avg_score,episode_count,num_of_frames,min,max
2.4,332,25000,1.0,7.0
1.7,524,50000,1.0,4.0
3.6,695,75000,1.0,7.0
9.5,851,100000,1.0,25.0
22.0,984,125000,1.0,54.0
17.3,1109,150000,1.0,40.0
18.0,1216,175000,1.0,47.0
14.8,1319,200000,1.0,41.0
35.3,1429,225000,7.0,100.0
14.5,1534,250000,1.0,29.0
40.4,1668,275000,4.0,100.0
83.9,1768,300000,17.0,100.0
52.5,1873,325000,2.0,100.0
13.5,1970,350000,3.0,40.0
86.0,2050,375000,21.0,100.0
82.2,2132,400000,0.0,100.0
23.6,2237,425000,7.0,72.0
70.4,2328,450000,1.0,100.0
76.1,2434,475000,5.0,100.0
31.3,2539,500000,3.0,68.0
41.7,2642,525000,1.0,100.0
86.0,2740,550000,52.0,100.0
57.0,2830,575000,2.0,100.0
93.9,2924,600000,52.0,100.0
25.0,3006,625000,1.0,86.0
7.3,3114,650000,2.0,16.0
87.2,3217,675000,36.0,100.0
71.0,3305,700000,12.0,100.0
91.8,3393,725000,18.0,100.0
88.6,3471,750000,45.0,100.0
88.3,3559,775000,35.0,100.0
72.1,3662,800000,9.0,100.0
85.0,3742,825000,16.0,100.0
78.0,3841,850000,5.0,100.0
75.8,3914,875000,9.0,100.0
79.7,3989,900000,20.0,100.0
66.0,4084,925000,1.0,100.0
35.5,4171,950000,2.0,83.0
24.9,4288,975000,2.0,68.0
91.8,4381,1000000,18.0,100.0
