avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
30.6,286,25000,10.006775454088771,51.193224545911235,1.0,77.0
63.0,574,50000,35.52930127813018,90.47069872186982,2.0,100.0
100.0,755,75000,100.0,100.0,100.0,100.0
100.0,854,100000,100.0,100.0,100.0,100.0
100.0,906,125000,100.0,100.0,100.0,100.0
100.0,937,150000,100.0,100.0,100.0,100.0
100.0,960,175000,100.0,100.0,100.0,100.0
100.0,988,200000,100.0,100.0,100.0,100.0
100.0,1012,225000,100.0,100.0,100.0,100.0
100.0,1042,250000,100.0,100.0,100.0,100.0
