avg_score,episode_count,num_of_frames,min,max
0.2,422,25000,0.0,1.0
0.3,832,50000,0.0,1.0
1.0,1217,75000,0.0,2.0
0.4,1567,100000,0.0,2.0
0.9,1935,125000,0.0,3.0
0.8,2265,150000,0.0,2.0
1.3,2566,175000,0.0,3.0
0.6,2879,200000,0.0,1.0
0.7,3203,225000,0.0,2.0
0.5,3498,250000,0.0,2.0
0.9,3786,275000,0.0,3.0
0.6,4074,300000,0.0,3.0
1.3,4363,325000,0.0,5.0
0.6,4632,350000,0.0,1.0
1.2,4905,375000,1.0,2.0
2.5,5168,400000,0.0,6.0
1.8,5473,425000,0.0,4.0
1.6,5733,450000,0.0,5.0
0.7,5974,475000,0.0,3.0
1.3,6234,500000,0.0,3.0
0.7,6519,525000,0.0,2.0
1.6,6819,550000,0.0,6.0
0.8,7120,575000,0.0,3.0
1.2,7417,600000,0.0,3.0
2.1,7694,625000,0.0,6.0
1.5,7984,650000,0.0,5.0
1.2,8254,675000,0.0,5.0
1.8,8517,700000,0.0,7.0
1.2,8802,725000,0.0,3.0
2.2,9083,750000,0.0,7.0
1.0,9365,775000,0.0,3.0
0.8,9617,800000,0.0,3.0
1.1,9880,825000,0.0,4.0
1.7,10156,850000,0.0,4.0
1.5,10428,875000,0.0,5.0
0.8,10749,900000,0.0,3.0
1.0,11065,925000,0.0,3.0
1.2,11350,950000,0.0,4.0
1.4,11629,975000,0.0,4.0
1.8,11918,1000000,0.0,5.0
