avg_score,episode_count,num_of_frames,min,max
0.2,433,25000,0.0,1.0
1.3,763,50000,0.0,6.0
3.3,984,75000,1.0,8.0
4.4,1169,100000,0.0,11.0
4.7,1366,125000,0.0,12.0
1.6,1544,150000,0.0,5.0
5.5,1697,175000,0.0,15.0
4.2,1840,200000,1.0,10.0
12.6,1972,225000,0.0,44.0
5.5,2121,250000,0.0,15.0
8.8,2259,275000,0.0,27.0
22.3,2377,300000,2.0,74.0
12.0,2499,325000,1.0,41.0
7.8,2621,350000,0.0,25.0
10.0,2747,375000,1.0,28.0
4.6,2846,400000,1.0,11.0
11.0,2948,425000,7.0,20.0
14.1,3041,450000,3.0,37.0
7.3,3137,475000,2.0,17.0
21.1,3244,500000,0.0,67.0
9.8,3334,525000,1.0,44.0
13.8,3448,550000,2.0,37.0
17.7,3551,575000,1.0,26.0
6.7,3642,600000,0.0,19.0
4.9,3745,625000,1.0,15.0
16.0,3842,650000,5.0,46.0
13.2,3944,675000,1.0,27.0
9.4,4044,700000,1.0,25.0
20.1,4146,725000,4.0,57.0
27.0,4233,750000,3.0,93.0
11.5,4342,775000,2.0,23.0
10.0,4450,800000,1.0,26.0
34.4,4562,825000,4.0,100.0
27.2,4648,850000,4.0,82.0
30.8,4750,875000,4.0,74.0
20.4,4835,900000,1.0,63.0
17.7,4920,925000,1.0,52.0
9.6,5026,950000,2.0,16.0
20.0,5115,975000,3.0,50.0
33.8,5206,1000000,1.0,81.0
